mode,epochs_num,rows_per_example,hidden_conv_dim,hidden_ff_dim,user_id,num_layers,use_fc_before,use_fc_before,fc_after_conv,hidden_dim,num_conv_layers,node_features,precision,recall,min_prec,min_recall
LoadMode.ONE_HOT,700,50,64,128,22,2,True,1,2,128,2,116,0.8588295571468585,0.8292134831460674,0.5028248587570622,0.5674157303370787
LoadMode.ONE_HOT,700,50,64,128,22,2,True,1,2,128,2,116,0.840183934031665,0.8713483146067416,0.5028248587570622,0.7191011235955056
LoadMode.MOST_COMMON_ONLY,700,50,64,128,22,2,True,1,2,128,2,116,0.7741796275086588,0.8617977528089888,0.5028248587570622,0.6544943820224719
LoadMode.MOST_COMMON_ONLY,700,50,64,128,22,2,True,1,2,128,2,116,0.7796911615950775,0.8887640449438201,0.5028248587570622,0.6966292134831461
LoadMode.SMALL_ALPHABET,700,50,64,128,22,2,True,1,2,128,2,81,0.9524816392302539,0.7825842696629213,0.8916876574307305,0.6235955056179775
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,22,2,True,1,2,128,2,39,0.9273390511709753,0.9410112359550562,0.8116279069767441,0.797752808988764
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,128,512,22,2,True,1,2,512,2,39,0.7649092935343788,0.9460674157303371,0.5035360678925035,0.7893258426966292
LoadMode.ACCENT_AND_CAPITAL_FLAG,700,50,64,128,22,2,True,1,2,128,2,39,0.9598213573194695,0.8235955056179776,0.9181818181818182,0.6797752808988764
5,700,40,64,128,2,True,22,1,2,128,2,39,0.6813597439278168,0.9765027322404372,0.5041322314049587,0.9098360655737705
5,700,70,64,128,2,True,22,1,2,128,2,39,0.8261266499238422,0.9476190476190476,0.5067873303167421,0.8005952380952381
5,700,40,64,128,2,True,22,1,2,128,2,42,0.7815142057531678,0.6967213114754098,0.5048275862068966,0.23497267759562843
